"ID","Sản phẩm","Khối lượng (g)","Kích thước (cm)","Phương pháp","Tin cậy","Cơ sở","URL"
"2246","Viên Uống Điều Hòa Kinh Nguyệt Kobayashi
Hiệu chỉnh","400","13 × 8 × 8","Nguồn + suy luận","Thấp","Tên phù hợp dòng Kobayashi Inochi no Haha nhưng chưa nêu bản White/A hay số viên; ước theo lọ bán lẻ.","https://www.kobayashi.co.jp/brand/inochinohaha/index.html?active-tab=tab-white"
"2247","Kem Tẩy Lông Veet Nhật Bản 150g
Theo nguồn","200","18 × 12 × 6","Nguồn bán hàng","Cao","Khối lượng và kích thước từ kết quả tìm kiếm Amazon khớp chặt; liên kết mở trang tìm kiếm để đối chiếu.","https://www.amazon.co.jp/s?k=Kem%20T%E1%BA%A9y%20L%C3%B4ng%20Veet%20Nh%E1%BA%ADt%20B%E1%BA%A3n%20150g"
"2248","Viên Uống Giảm Mỡ Bụng Onaka
Kết quả tương tự","30","18,4 × 11,8 × 1,1","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=Vi%C3%AAn%20U%E1%BB%91ng%20Gi%E1%BA%A3m%20M%E1%BB%A1%20B%E1%BB%A5ng%20Onaka"
"2249","Kẹo Canxi Và Lợi Khuẩn Unimat Riken 90 Viên
Theo nguồn","90","13,4 × 13,3 × 2,3","Nguồn bán hàng","Cao","Khối lượng và kích thước từ kết quả tìm kiếm Amazon khớp chặt; liên kết mở trang tìm kiếm để đối chiếu.","https://www.amazon.co.jp/s?k=K%E1%BA%B9o%20Canxi%20V%C3%A0%20L%E1%BB%A3i%20Khu%E1%BA%A9n%20Unimat%20Riken%2090%20Vi%C3%AAn"
"2250","Nước Uống Nhau Thai Collagen DR Placen 40000
Hiệu chỉnh","1750","29 × 20 × 12","Nguồn + suy luận","Trung bình","Các trang bán hàng ghi hộp 10 chai × 100 ml; ước tổng khối lượng chai thủy tinh và hộp.","https://hamie.vn/products/dr-placen-collagen-nuoc-uong-nhau-thai-dp-40000-100ml-x-10-lo-nhat-ban"
"2251","Sữa Rửa Mặt Shiseido Aqualabel
Kết quả tương tự","149","18,1 × 6,1 × 4,5","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=S%E1%BB%AFa%20R%E1%BB%ADa%20M%E1%BA%B7t%20Shiseido%20Aqualabel"
"2252","Viên Uống Bổ Phổi Kobayashi 80 Viên
Theo nguồn","127","10,21 × 4,9 × 4,9","Nguồn bán hàng","Cao","Khối lượng và kích thước từ kết quả tìm kiếm Amazon khớp chặt; liên kết mở trang tìm kiếm để đối chiếu.","https://www.amazon.co.jp/s?k=Vi%C3%AAn%20U%E1%BB%91ng%20B%E1%BB%95%20Ph%E1%BB%95i%20Kobayashi%2080%20Vi%C3%AAn"
"2253","Kem Dưỡng Shiseido Aqualabel 5 Trong 1
Kết quả tương tự","150","7,5 × 7,4 × 7,2","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=Kem%20D%C6%B0%E1%BB%A1ng%20Shiseido%20Aqualabel%205%20Trong%201"
"2254","Viên Uống Chống Nắng Fine Japan UV 30 Viên
Hiệu chỉnh","45","16,5 × 9,5 × 1,4","Đã hiệu chỉnh","Trung bình","Giữ kích thước kết quả bán hàng; ước khối lượng túi 30 viên.","https://www.amazon.co.jp/s?k=Vi%C3%AAn%20U%E1%BB%91ng%20Ch%E1%BB%91ng%20N%E1%BA%AFng%20Fine%20Japan%20UV%2030%20Vi%C3%AAn"
"2255","Viên Uống Đông Trùng Hạ Thảo Royal Gold Cordyceps 420 Viên
Theo nguồn","300","12,4 × 6,3 × 6,2","Nguồn bán hàng","Cao","Khối lượng và kích thước từ kết quả tìm kiếm Amazon khớp chặt; liên kết mở trang tìm kiếm để đối chiếu.","https://www.amazon.co.jp/s?k=Vi%C3%AAn%20U%E1%BB%91ng%20%C4%90%C3%B4ng%20Tr%C3%B9ng%20H%E1%BA%A1%20Th%E1%BA%A3o%20Royal%20Gold%20Cordyceps%20420%20Vi%C3%AAn"
"2256","Bộ Dầu Gội Xả Tigi Đỏ 750ml x 2 Chai
Hiệu chỉnh","1640","26,5 × 15 × 8","Nguồn + suy luận","Cao","Trang bán hàng cho bộ TIGI 2 × 750 ml ghi 1,64 kg và 26,5 × 15 × 8 cm; số 500 g cũ không thể đúng.","https://bigamart.com/product/fully-loaded-with-pumps-750ml-shampoo-conditioner/"
"2257","Sữa Morinaga Kodomilk Dạng Gói
Kết quả tương tự","80","16,1 × 13,1 × 3,7","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=S%E1%BB%AFa%20Morinaga%20Kodomilk%20D%E1%BA%A1ng%20G%C3%B3i"
"2258","Nước Uống Collagen HIFU 100000mg
Hiệu chỉnh","160","21 × 14 × 4","Nguồn + suy luận","Trung bình","Trang sản phẩm ghi hộp 10 gói, mỗi gói 12 g; cộng vỏ gói và hộp giấy.","https://icheck.vn/san-pham/the-hi-ufu-collagen-perfect-100000mg-4589622171764"
"2259","Mặt Nạ The Stem Cell Nhật Bản 30 Miếng
Theo nguồn","400","24,8 × 23,8 × 2,5","Nguồn bán hàng","Cao","Khối lượng và kích thước từ kết quả tìm kiếm Amazon khớp chặt; liên kết mở trang tìm kiếm để đối chiếu.","https://www.amazon.co.jp/s?k=M%E1%BA%B7t%20N%E1%BA%A1%20The%20Stem%20Cell%20Nh%E1%BA%ADt%20B%E1%BA%A3n%2030%20Mi%E1%BA%BFng"
"2260","Thuốc Tsumura Seihaito Số 90 Hộp 42 Gói
Túi/hộp mỏng","71","17 × 10 × 2","Suy luận quy cách","Thấp","Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.","https://www.amazon.co.jp/s?k=Thu%E1%BB%91c%20Tsumura%20Seihaito%20S%E1%BB%91%2090%20H%E1%BB%99p%2042%20G%C3%B3i"
"2261","Xịt Chống Nắng Biore UV Aqua Rich Aqua Protect Mist SPF50+ PA++++
Hiệu chỉnh","95","19 × 8,3 × 4","Đã hiệu chỉnh","Trung bình","Giữ kích thước nguồn bán hàng; ước chai xịt chống nắng Biore khoảng 60 ml cùng bao bì.","https://www.amazon.co.jp/s?k=X%E1%BB%8Bt%20Ch%E1%BB%91ng%20N%E1%BA%AFng%20Biore%20UV%20Aqua%20Rich%20Aqua%20Protect%20Mist%20SPF50%2B%20PA%2B%2B%2B%2B"
"2262","Nước Nhỏ Mắt Rohto Vita 40 Alpha
Kết quả tương tự","20","10,8 × 6,1 × 2,2","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=N%C6%B0%E1%BB%9Bc%20Nh%E1%BB%8F%20M%E1%BA%AFt%20Rohto%20Vita%2040%20Alpha"
"2263","Nước Nhỏ Mắt Rohto Cool 40 Alpha
Kết quả tương tự","23","9,14 × 6,35 × 2,29","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=N%C6%B0%E1%BB%9Bc%20Nh%E1%BB%8F%20M%E1%BA%AFt%20Rohto%20Cool%2040%20Alpha"
"2264","Bánh Xốp Healthy Club
Kết quả tương tự","580","29,7 × 19,3 × 4,4","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=B%C3%A1nh%20X%E1%BB%91p%20Healthy%20Club"
"2265","Set 2 Lon Sữa Meiji Hohoemi Cho Bé 0-1 Tuổi 800g x 2
Hiệu chỉnh","2140","27 × 13,5 × 18,1","Nguồn + suy luận","Cao","Trang bán hàng ghi hai lon Meiji Hohoemi 800 g có tổng khối lượng khoảng 2.140 g; kích thước mỗi lon cao 18,1 cm, đường kính 13,5 cm.","https://www.e-japannavi.com/shop/ecshop/baby_supplies/meiji-milkpowder-hohoemi2.shtml"
"2266","Set 2 Lon Sữa Meiji Step Cho Bé 1-3 Tuổi 800g x 2
Theo nguồn","2200","27 × 18,6 × 13,6","Nguồn bán hàng","Cao","Khối lượng và kích thước từ kết quả tìm kiếm Amazon khớp chặt; liên kết mở trang tìm kiếm để đối chiếu.","https://www.amazon.co.jp/s?k=Set%202%20Lon%20S%E1%BB%AFa%20Meiji%20Step%20Cho%20B%C3%A9%201-3%20Tu%E1%BB%95i%20800g%20x%202"
"2267","Set Sữa Wakodo Haihai Cho Bé 0-1 Tuổi Kèm 10 Thanh
Hiệu chỉnh","1100","31,2 × 23,2 × 14,2","Nguồn + suy luận","Trung bình","Hiệu chỉnh từ một lon Haihai khoảng 810 g cộng 10 thanh sữa, lon và hộp ngoài; khối lượng cũ chỉ phản ánh phần chính.","https://www.wakodo.co.jp/vietnamese/product/milk/product/"
"2268","Set 3 Lon Sữa Wakodo Gungun Cho Bé 9 Tháng-3 Tuổi Kèm 10 Thanh
Hiệu chỉnh","3000","41 × 19 × 15","Nguồn + suy luận","Trung bình","Ba lon Wakodo Gungun 830 g cộng 10 thanh 14 g và bao bì; kích thước cũ phù hợp gần một lon hơn là bộ ba.","https://www.wakodo.co.jp/product/babyfood/milk/gungun/"
"2269","Viên Uống NOW Magtein Magnesium L-Threonate 180 Viên
Kết quả tương tự","113","10,8 × 5,41 × 5,41","Nguồn + suy luận","Trung bình","Kết quả Amazon khớp gần: giữ số đo cụ thể để tham khảo và hạ mức tin cậy; nên đối chiếu đúng mã JAN/biến thể trước khi chốt cước.","https://www.amazon.co.jp/s?k=Vi%C3%AAn%20U%E1%BB%91ng%20NOW%20Magtein%20Magnesium%20L-Threonate%20180%20Vi%C3%AAn"
"2270","Dầu Cá Nordic Naturals Children’s DHA 530mg Omega-3 237ml
Hiệu chỉnh","303","18 × 7 × 7","Suy luận quy cách","Trung bình","Giữ khối lượng 303 g từ dữ liệu ban đầu; ước kích thước chai dầu cá 237 ml.","https://www.amazon.co.jp/s?k=D%E1%BA%A7u%20C%C3%A1%20Nordic%20Naturals%20Children%E2%80%99s%20DHA%20530mg%20Omega-3%20237ml"
"2271","Bộ Aqualabel Treatment Lotion Và Sữa Dưỡng Chống Lão Hóa
Hiệu chỉnh","380","21 × 14 × 7","Đã hiệu chỉnh","Trung bình","Ước bộ lotion và sữa dưỡng Aqualabel theo tổng dung tích hai chai; 160 g cũ thấp hơn lượng chất lỏng thông thường.","https://www.amazon.co.jp/s?k=B%E1%BB%99%20Aqualabel%20Treatment%20Lotion%20V%C3%A0%20S%E1%BB%AFa%20D%C6%B0%E1%BB%A1ng%20Ch%E1%BB%91ng%20L%C3%A3o%20H%C3%B3a"
"2272","Bộ Aqualabel Treatment Brightening Lotion Và Sữa Dưỡng
Hiệu chỉnh","380","21 × 14 × 7","Suy luận tương đương","Trung bình","Ước bộ Treatment Brightening Lotion và sữa dưỡng gồm hai chai trong hộp/túi chung.","https://www.amazon.co.jp/s?k=B%E1%BB%99%20Aqualabel%20Treatment%20Brightening%20Lotion%20V%C3%A0%20S%E1%BB%AFa%20D%C6%B0%E1%BB%A1ng"
"2273","Yến Chưng Gip Nest 70ml Nhiều Vị
Hiệu chỉnh","110","8 × 8 × 8","Suy luận quy cách","Trung bình","Giữ khối lượng 110 g; ước một hũ yến chưng thủy tinh 70 ml và nắp.","https://www.amazon.co.jp/s?k=Y%E1%BA%BFn%20Ch%C6%B0ng%20Gip%20Nest%2070ml%20Nhi%E1%BB%81u%20V%E1%BB%8B"
"2274","Giỏ Quà Tết Xuân Son Yến Chưng 46%
Hiệu chỉnh","1800","34 × 25 × 15","Suy luận tương đương","Thấp","Ước giỏ quà yến chưng nhiều hũ; tên chưa nêu số hũ và dung tích nên cần cân lại.","https://www.amazon.co.jp/s?k=Gi%E1%BB%8F%20Qu%C3%A0%20T%E1%BA%BFt%20Xu%C3%A2n%20Son%20Y%E1%BA%BFn%20Ch%C6%B0ng%2046%25"
"2275","Gà Ủ Muối
Hiệu chỉnh","1500","30 × 22 × 12","Suy luận tương đương","Thấp","Ước một con gà ủ muối đóng túi/hộp cỡ phổ biến; tên chưa nêu khối lượng tịnh.","https://www.amazon.co.jp/s?k=G%C3%A0%20%E1%BB%A6%20Mu%E1%BB%91i"
"2276","Sen Vòi Sanei TOH Bọc Gốm
Hiệu chỉnh","4800","49 × 28 × 28","Nguồn + suy luận","Thấp","Giữ kích thước hộp đã tìm thấy; 80 g chỉ phù hợp linh kiện nhỏ, không phù hợp bộ vòi TOH bọc gốm nên ước lại theo bộ vòi kim loại/gốm.","https://www.sanei.ltd/series/sr_toh/"
"2277","Dưa Bở 1kg
Hiệu chỉnh","1125","18 × 15 × 15","Suy luận quy cách","Trung bình","Giữ khối lượng ước tính 1.125 g cho quả 1 kg; kích thước theo một quả dưa bở cỡ trung.","https://www.amazon.co.jp/s?k=D%C6%B0a%20B%E1%BB%9F%201kg"
