id,ten,ten_ja,danh_muc,trang_thai,khoi_luong_g,kich_thuoc_cm,do_tin_cay,nguon,van_de
1311,Sữa Dưỡng Thể Hatomugi Chống Nắng SPF31 PA+++,麗白 ハトムギ UVミルキージェル SPF31 PA+++ 250mL,Chăm sóc body,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1313,Sữa Dưỡng Thể Hatomugi Lotion Ban Đêm,麗白 ハトムギ ボディローション 無香料 250g,Chăm sóc body,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1315,Thuốc Detox Nhuận Tràng Trị Táo Bón Kokando Byurakka,皇漢堂製薬 ビューラックA 400錠,"Giảm cân, Thực phẩm chức năng",Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1317,Viên Uống Trắng Da DHC Hatomugi 60 ngày,DHC はとむぎエキス 60日分 60粒,Thực phẩm chức năng,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1358,Viên Ngăn Ngừa Đột Quỵ An Cung Ngưu Hoàn Nhật Bản,安宮牛黄丸 丸剤,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1363,Sữa Meiji Cho Bé Từ 0-1 Tuổi Dạng Thanh (48 Thanh),明治ほほえみ らくらくキューブ 27g×48袋,Mẹ và bé,Đang bán,1400,31x22x13,Trung bình,Suy luận tương đương: Ước hộp 48 thanh sữa công thức.,
1368,Sữa Meiji Cho Bé Từ 1-3 Tuổi Dạng Thanh (48 Thanh),明治ステップ らくらくキューブ 28g×48袋,Mẹ và bé,Đang bán,1400,31x22x13,Trung bình,Suy luận tương đương: Ước hộp 48 thanh sữa công thức.,
1370,Kem Ủ Trắng Hasuko Cô Gái Nhật Bản 300g,HASUKO オールインワンクリーム 300g,Chăm sóc body,Đang bán,355,10x10x8,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1410,Siro Paburon – Siro Con Hổ Trị Cảm Sốt Cho Bé,大正製薬 パブロンキッズかぜシロップ 120mL,"Mẹ và bé, Tủ thuốc gia đình",Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1412,Thuốc Trị Cảm Sốt Cho Bé Paburon Dạng Gói,大正製薬 パブロンキッズかぜ微粒 12包,"Mẹ và bé, Tủ thuốc gia đình",Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1414,Thực Phẩm Bảo Vệ Sức Khỏe PLACENTA 82X 450000 SAKURA PREMIUM,82X プラセンタ サクラプレミアム 500g,Thực phẩm chức năng,Đang bán,700,23x9x9,Trung bình,Nguồn + suy luận: Trang bán hàng chính hãng ghi khối lượng tịnh 500 g; cộng chai và hộp bán lẻ.,
1416,Thực Phẩm Bảo Vệ Sức Khỏe COLLAGEN 82X 120000 CLASSIC,82X コラーゲン クラッシック 500g,Thực phẩm chức năng,Đang bán,650,23x9x9,Trung bình,Suy luận tương đương: Dòng 82X Classic được bán dạng chai 500 ml; ước thêm chai và hộp bán lẻ.,
1419,Thực Phẩm Bảo Vệ Sức Khỏe PLACENTA 82X 450000 CLASSIC,82X プラセンタ クラッシック 500g,"Thực phẩm chức năng, Dưỡng da mặt",Đang bán,700,23x9x9,Trung bình,Suy luận tương đương: Dòng 82X Placenta Classic được bán dạng chai; ước khối lượng chai 500 ml và hộp.,
1423,Thực Phẩm Bảo Vệ Sức Khỏe COLLAGEN 82X 120000 SAKURA PREMIUM,82X コラーゲン サクラプレミアム 500g,Thực phẩm chức năng,Đang bán,650,23x9x9,Trung bình,Suy luận tương đương: Dòng 82X Collagen Sakura Premium được bán dạng chai 500 ml; ước thêm chai và hộp.,
1425,THực Phẩm Bảo Vệ Sức Khỏe 82X THE PINK COLLAGEN,82X ザ ピンク コラーゲン 100mL×10本,Thực phẩm chức năng,Đang bán,1250,29x18x13,Trung bình,"Nguồn + suy luận: Trang hãng ghi 1 hộp 10 chai/lon, mỗi chai 100 ml; khối lượng và kích thước ngoài được ước theo cả hộp.",
1427,Kem Chống Nẻ Cho Bé Pigeon Nhật,ピジョン ベビークリーム 110g,Mẹ và bé,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1429,Thuốc Đặc Trị Ho Cảm Cúm PABRON S NHẬT BẢN Dạng Viên,大正製薬 パブロンSゴールドW錠,Tủ thuốc gia đình,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1431,Thuốc Đặc Trị Ho Cảm Cúm PABRON S NHẬT BẢN Dạng Gói,大正製薬 パブロンSゴールドW微粒,Tủ thuốc gia đình,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1433,Thuốc Trị Cảm Cúm Cho Trẻ Taisho Pabron Gold A 46 gói,大正製薬 パブロンゴールドA 微粒 44包,"Mẹ và bé, Tủ thuốc gia đình",Đang bán,76,17x10x2,Thấp,Suy luận quy cách: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1436,Sữa Tắm Trắng Da Hạt Ý Dĩ Hatomugi 800ml,麗白 ハトムギ ボディソープ 800mL,Chăm sóc body,Đang bán,950,24x11x9,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1438,Sữa Tắm Trắng Da White Conc Body 360ml,ホワイトコンク ボディシャンプーCII 360mL,Chăm sóc body,Đang bán,420,15.75x7.62x4.32,Cao,Nguồn bán hàng: Khối lượng và kích thước lấy từ trang bán hàng đã liên kết.,
1476,Lăn Trị Muỗi Đốt – Côn Trùng Cắn Muhi,池田模範堂 液体ムヒS2a 50mL,Mẹ và bé,Đang bán,45,13x4x3,Trung bình,Suy luận tương đương: Ước chai lăn/tuýp Muhi cỡ nhỏ dùng cho côn trùng cắn.,
1478,Ngũ Cốc Đỏ Calbee Nhật Bản 750g,カルビー フルグラ 750g,Thực phẩm chức năng,Đang bán,850,34x24x10,Trung bình,Suy luận quy cách: Khối lượng tịnh ghi trong tên cộng túi; ước kích thước túi ngũ cốc.,
1481,Ngũ Cốc Trắng Calbee Nhật Bản 600g,カルビー フルグラ 糖質オフ 600g,Thực phẩm chức năng,Đang bán,700,34x24x10,Trung bình,Suy luận quy cách: Khối lượng tịnh ghi trong tên cộng túi; ước kích thước túi ngũ cốc.,
1490,Sữa Rửa Mặt Tạo Bọt Màu Trắng HADA LABO,肌ラボ 極潤ヒアルロン泡洗顔 160mL,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1493,Sữa Rửa Mặt Tạo Bọt Màu Xanh HADA LABO,肌ラボ 泡洗顔料 ブルーボトル（混合肌・脂性肌用）,Sữa rửa mặt & tẩy trang,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1525,Viên Uống Rau Củ DHC 60 Ngày,DHC 国産パーフェクト野菜プレミアム 60日分 240粒,Thực phẩm chức năng,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1527,Viên Uống Thơm Cơ Thể DHC 20 Ngày,DHC 香るブルガリアンローズカプセル 20日分 40粒,Thực phẩm chức năng,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1529,Viên Uống Bổ Sung Vitamin E 60 Ngày,DHC 天然ビタミンE［大豆］ 60日分,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1531,Kem Dưỡng Trắng Da CC Melano Brightening Gel 100g,メラノCC 薬用しみ対策 美白ジェル 100g,Dưỡng da mặt,Đang bán,135,18x6x4,Trung bình,"Suy luận quy cách: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1533,Viên uống Collagen DHC 60 Ngày,DHC コラーゲン 60日分 360粒,Thực phẩm chức năng,Đang bán,90,17x10x2,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1536,Sữa Meiji Cho Bé Từ 1-3 Tuổi Dạng Lon 800g,明治ステップ 大缶 800g,Mẹ và bé,Đang bán,900,18x14x14,Trung bình,Suy luận quy cách: Ước lon/túi sữa bột cỡ 800 g.,
1539,Sữa Meji Cho Bé Từ 0-1 Tuổi Dạng Lon 800g,明治ほほえみ 大缶 800g,Mẹ và bé,Đang bán,900,18x14x14,Trung bình,Suy luận quy cách: Ước lon/túi sữa bột cỡ 800 g.,
1564,Dầu Cá Omega 3 Orihiro 180 Viên,オリヒロ フィッシュオイル 180粒,Thực phẩm chức năng,Đang bán,170,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1567,Tẩy Tế Bào Chết White Conc Vitamin C,WHITE CONC ホワイトコンク ボディゴマージュCII 180g,Sữa rửa mặt & tẩy trang,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1569,Kem Dưỡng Trắng Ban Đêm White Conc,WHITE CONC ホワイトコンク ウォータリークリームII 90g,Chăm sóc body,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1578,Kem Dưỡng Ngày Hadalabo Xanh 7in1,肌ラボ 極潤 UVホワイトゲル 90g,Dưỡng da mặt,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1582,Kem Trị Sẹo Gentacin 1%,高田製薬 ゲンタシンクリーム 0.1%,Tủ thuốc gia đình,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1584,Sữa Tắm Cool Cho Nam 600ml,熊野油脂 ファーマアクト クールボディソープ 600mL,"Dành cho nam, Chăm sóc body",Đang bán,720,24x11x9,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1586,Nước Hoa Hồng Diếp Cá 500ml,地の塩社 モイスチャライジング どくだみ化粧水 500mL,Dưỡng da mặt,Đang bán,600,21x9x7,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1588,Nước Hoa Hồng Tía Tô 500ml,地の塩社 しそ化粧水 500mL,Dưỡng da mặt,Đang bán,600,21x9x7,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1590,Nước Hoa Hồng CC Melano,ロート製薬 メラノCC 薬用しみ対策 美白化粧水 170mL,Dưỡng da mặt,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1592,Dung Dịch Vệ Sinh Vùng Kín Maputi,MAPUTI オーガニックフレグランス インティメイトソープ 120mL,Sức khỏe phụ nữ,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1594,Kem Tăng Ngực Maputi,MAPUTI オーガニックフレグランス バストクリーム 60g,Sức khỏe phụ nữ,Đang bán,120,18x6x4,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1599,Kem Hâp và Ủ Tóc Fino ShiSeiDo,フィーノ プレミアムタッチ 浸透美容液ヘアマスク 230g,Chăm sóc tóc,Đang bán,120,10x10x8,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1603,Dầu Gội Tonic Cho Nam,メンズ トニックシャンプー（清涼タイプ）,Dành cho nam,Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1623,BỘT MẦM LÚA MẠCH – BỘT TRÀ LÚA NON NHẬT BẢN,大麦若葉 青汁 粉末（国産大麦若葉100%）,Thực phẩm chức năng,Đang bán,160,22x16x5,Trung bình,Suy luận tương đương: Ước túi bột theo khối lượng tịnh/bao bì mềm.,
1630,Viên Uống Bổ Não DHA ITOH 1000,井藤漢方製薬 DHA1000S 120粒,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1632,Viên Uống Tiểu Đường Mayado Tokaijyo,摩耶堂製薬 糖解錠 170錠,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1634,KẸO CHO TRẺ BIẾNG ĂN MAMA RAMUNE,エムアンドエム ママラムネ いちごミルク風味 200粒,Mẹ và bé,Đang bán,150,18x12x5,Thấp,Suy luận tương đương: Ước túi/hộp kẹo bổ sung cho trẻ em.,
1638,Nước Hoa Hồng Trị Mụn Meishoku Bigansui Medicated Skin Lotion 90ml,明色化粧品 明色美顔水 薬用化粧水 90mL,Dưỡng da mặt,Đang bán,135,19x7x5,Trung bình,Suy luận quy cách: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1640,SỮA RỬA MẶT PHARMAACT COOL,熊野油脂 ファーマアクト クール洗顔フォーム 130g,"Dành cho nam, Sữa rửa mặt & tẩy trang",Đang bán,230,19x7x5,Trung bình,Suy luận tương đương: Ước chai/tuýp chăm sóc cá nhân từ dung tích ghi trong tên hoặc quy cách phổ biến.,
1642,DẦU CÙ LÀ MENTURM,近江兄弟社 メンタームQ軟膏,Tủ thuốc gia đình,Đang bán,85,8x7x7,Thấp,Suy luận tương đương: Ước hũ dầu cù là Menturm cỡ bán lẻ phổ biến.,
1644,KEM TRỊ NỨT NẺ TAY CHÂN SHSEIDO UREA CREAM 100gr,資生堂 尿素10%クリーム 100g,"Chăm sóc body, Tủ thuốc gia đình",Đang bán,135,10x10x8,Trung bình,"Suy luận tương đương: Ước từ khối lượng/dung tích ghi trong tên nếu có, cộng vỏ và hộp bán lẻ.",
1646,VIÊN BỔ NÃO TRỊ CHỨNG MẤT NGỦ TIỀN ĐÌNH,脳・睡眠ケア サプリメント（日本製）,Thực phẩm chức năng,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
1648,VIÊN NHAI BỔ SUNG CANXI VỊ SỮA CHUA MOST,オリヒロ MOSTチュアブル カルシウム 180粒,Mẹ và bé,Đang bán,90,11x7x6,Thấp,Suy luận tương đương: Ước theo số viên/gói nếu tên có nêu; nếu thiếu quy cách dùng cỡ bao bì thực phẩm bổ sung tương đương.,
